percentile,threshold,dataset,name,n,rate
99.7,8.899195092370565,ROAD_ambient,ambient_dyno_drive_benign_anomaly.log,771519,0.0015955537063896028
99.7,8.899195092370565,ROAD_ambient,ambient_dyno_drive_extended_long.log,1424208,0.002543167851886803
99.7,8.899195092370565,ROAD_ambient,ambient_dyno_drive_extended_short.log,790442,0.0019672537643495662
99.8,9.15387017245498,ROAD_attack,correlated_signal_attack_1.log,4172,0.8763183125599233
99.8,9.15387017245498,ROAD_attack,correlated_signal_attack_2.log,4279,0.7777518111708344
99.8,9.15387017245498,ROAD_attack,correlated_signal_attack_3.log,2529,0.7576117042309213
99.8,9.15387017245498,ROAD_attack,fuzzing_attack_1.log,8569,0.07410432956004201
99.8,9.15387017245498,ROAD_attack,fuzzing_attack_2.log,5097,0.07219933294094566
99.8,9.15387017245498,ROAD_attack,fuzzing_attack_3.log,1663,0.07276007215874924
99.8,9.15387017245498,ROAD_attack,max_engine_coolant_temp_attack.log,85,0.0
99.8,9.15387017245498,ROAD_attack,max_speedometer_attack_1.log,4887,0.0
99.8,9.15387017245498,ROAD_attack,max_speedometer_attack_2.log,6279,0.0
99.8,9.15387017245498,ROAD_attack,max_speedometer_attack_3.log,12214,0.0
99.8,9.15387017245498,ROAD_attack,reverse_light_off_attack_1.log,1344,0.0
99.8,9.15387017245498,ROAD_attack,reverse_light_off_attack_2.log,4741,0.0
99.8,9.15387017245498,ROAD_attack,reverse_light_off_attack_3.log,4868,0.0
99.8,9.15387017245498,ROAD_attack,reverse_light_on_attack_1.log,3983,0.0
99.8,9.15387017245498,ROAD_attack,reverse_light_on_attack_2.log,7379,0.0
99.8,9.15387017245498,ROAD_attack,reverse_light_on_attack_3.log,4701,0.0
99.8,9.15387017245498,ROAD_ambient,ambient_dyno_drive_basic_long.log,2991272,0.0023341240783185213
99.8,9.15387017245498,ROAD_ambient,ambient_dyno_drive_basic_short.log,1063624,0.001981903379389709
99.8,9.15387017245498,ROAD_ambient,ambient_dyno_drive_benign_anomaly.log,771519,0.0014024281968428515
99.8,9.15387017245498,ROAD_ambient,ambient_dyno_drive_extended_long.log,1424208,0.0021197746396593754
99.8,9.15387017245498,ROAD_ambient,ambient_dyno_drive_extended_short.log,790442,0.001658565713866419
99.9,10.10402093535457,ROAD_attack,correlated_signal_attack_1.log,4172,0.7193192713326941
99.9,10.10402093535457,ROAD_attack,correlated_signal_attack_2.log,4279,0.5590091142790372
99.9,10.10402093535457,ROAD_attack,correlated_signal_attack_3.log,2529,0.48912613681296957
99.9,10.10402093535457,ROAD_attack,fuzzing_attack_1.log,8569,0.07317073170731707
99.9,10.10402093535457,ROAD_attack,fuzzing_attack_2.log,5097,0.07161075142240533
99.9,10.10402093535457,ROAD_attack,fuzzing_attack_3.log,1663,0.07155742633794347
99.9,10.10402093535457,ROAD_attack,max_engine_coolant_temp_attack.log,85,0.0
99.9,10.10402093535457,ROAD_attack,max_speedometer_attack_1.log,4887,0.0
99.9,10.10402093535457,ROAD_attack,max_speedometer_attack_2.log,6279,0.0
99.9,10.10402093535457,ROAD_attack,max_speedometer_attack_3.log,12214,0.0
99.9,10.10402093535457,ROAD_attack,reverse_light_off_attack_1.log,1344,0.0
99.9,10.10402093535457,ROAD_attack,reverse_light_off_attack_2.log,4741,0.0
99.9,10.10402093535457,ROAD_attack,reverse_light_off_attack_3.log,4868,0.0
99.9,10.10402093535457,ROAD_attack,reverse_light_on_attack_1.log,3983,0.0
99.9,10.10402093535457,ROAD_attack,reverse_light_on_attack_2.log,7379,0.0
99.9,10.10402093535457,ROAD_attack,reverse_light_on_attack_3.log,4701,0.0
99.9,10.10402093535457,ROAD_ambient,ambient_dyno_drive_basic_long.log,2991272,0.0009704901459980904
99.9,10.10402093535457,ROAD_ambient,ambient_dyno_drive_basic_short.log,1063624,0.0008226591351831098
99.9,10.10402093535457,ROAD_ambient,ambient_dyno_drive_benign_anomaly.log,771519,0.0005975225496714922
99.9,10.10402093535457,ROAD_ambient,ambient_dyno_drive_extended_long.log,1424208,0.0008924258254412277
99.9,10.10402093535457,ROAD_ambient,ambient_dyno_drive_extended_short.log,790442,0.0007135248380020292
99.95,11.164184472641143,ROAD_attack,correlated_signal_attack_1.log,4172,0.1833652924256951
99.95,11.164184472641143,ROAD_attack,correlated_signal_attack_2.log,4279,0.2519280205655527
99.95,11.164184472641143,ROAD_attack,correlated_signal_attack_3.log,2529,0.3028865164096481
99.95,11.164184472641143,ROAD_attack,fuzzing_attack_1.log,8569,0.07317073170731707
99.95,11.164184472641143,ROAD_attack,fuzzing_attack_2.log,5097,0.07141455758289189
99.95,11.164184472641143,ROAD_attack,fuzzing_attack_3.log,1663,0.07095610342754059
99.95,11.164184472641143,ROAD_attack,max_engine_coolant_temp_attack.log,85,0.0
99.95,11.164184472641143,ROAD_attack,max_speedometer_attack_1.log,4887,0.0
99.95,11.164184472641143,ROAD_attack,max_speedometer_attack_2.log,6279,0.0
99.95,11.164184472641143,ROAD_attack,max_speedometer_attack_3.log,12214,0.0
99.95,11.164184472641143,ROAD_attack,reverse_light_off_attack_1.log,1344,0.0
99.95,11.164184472641143,ROAD_attack,reverse_light_off_attack_2.log,4741,0.0
99.95,11.164184472641143,ROAD_attack,reverse_light_off_attack_3.log,4868,0.0
99.95,11.164184472641143,ROAD_attack,reverse_light_on_attack_1.log,3983,0.0
99.95,11.164184472641143,ROAD_attack,reverse_light_on_attack_2.log,7379,0.0
99.95,11.164184472641143,ROAD_attack,reverse_light_on_attack_3.log,4701,0.0
99.95,11.164184472641143,ROAD_ambient,ambient_dyno_drive_basic_long.log,2991272,0.0004927669566659268
99.95,11.164184472641143,ROAD_ambient,ambient_dyno_drive_basic_short.log,1063624,0.0004672703887840064
99.95,11.164184472641143,ROAD_ambient,ambient_dyno_drive_benign_anomaly.log,771519,0.0004951271452809328
99.95,11.164184472641143,ROAD_ambient,ambient_dyno_drive_extended_long.log,1424208,0.0004978205430667431
99.95,11.164184472641143,ROAD_ambient,ambient_dyno_drive_extended_short.log,790442,0.00047062276549070015
99.99,14.232271467191671,ROAD_attack,correlated_signal_attack_1.log,4172,0.0
99.99,14.232271467191671,ROAD_attack,correlated_signal_attack_2.log,4279,0.0
99.99,14.232271467191671,ROAD_attack,correlated_signal_attack_3.log,2529,0.0
99.99,14.232271467191671,ROAD_attack,fuzzing_attack_1.log,8569,0.07235383358618275
99.99,14.232271467191671,ROAD_attack,fuzzing_attack_2.log,5097,0.07082597606435158
99.99,14.232271467191671,ROAD_attack,fuzzing_attack_3.log,1663,0.0703547805171377
99.99,14.232271467191671,ROAD_attack,max_engine_coolant_temp_attack.log,85,0.0
99.99,14.232271467191671,ROAD_attack,max_speedometer_attack_1.log,4887,0.0
99.99,14.232271467191671,ROAD_attack,max_speedometer_attack_2.log,6279,0.0
99.99,14.232271467191671,ROAD_attack,max_speedometer_attack_3.log,12214,0.0
99.99,14.232271467191671,ROAD_attack,reverse_light_off_attack_1.log,1344,0.0
99.99,14.232271467191671,ROAD_attack,reverse_light_off_attack_2.log,4741,0.0
99.99,14.232271467191671,ROAD_attack,reverse_light_off_attack_3.log,4868,0.0
99.99,14.232271467191671,ROAD_attack,reverse_light_on_attack_1.log,3983,0.0
99.99,14.232271467191671,ROAD_attack,reverse_light_on_attack_2.log,7379,0.0
99.99,14.232271467191671,ROAD_attack,reverse_light_on_attack_3.log,4701,0.0
99.99,14.232271467191671,ROAD_ambient,ambient_dyno_drive_basic_long.log,2991272,1.337223763001158e-06
99.99,14.232271467191671,ROAD_ambient,ambient_dyno_drive_basic_short.log,1063624,9.401818687806969e-07
99.99,14.232271467191671,ROAD_ambient,ambient_dyno_drive_benign_anomaly.log,771519,2.5922887187483393e-06
99.99,14.232271467191671,ROAD_ambient,ambient_dyno_drive_extended_long.log,1424208,7.021446305595812e-07
99.99,14.232271467191671,ROAD_ambient,ambient_dyno_drive_extended_short.log,790442,6.325574804982529e-06
