timestamp,fpr,overall_any_alert,overall_latency_ms,peak_rss_mb,avg_cpu_pct,max_cpu_pct,n_bursts,n_messages
2026-09-04 15:59:49.733160,0.09232,1.0000,0.847,238.80,45.6,60.0,9,25793
2026-09-04 16:01:33.877850,0.04231,0.9852,49.128,238.77,42.5,93.9,8,23643
2026-09-04 16:46:51.174714,0.08808,0.9961,3.914,238.53,67.5,94.0,8,44141
2026-09-04 17:00:50.515582,0.02597,0.9967,8.505,238.68,60.0,93.9,8,37895
