interval_index,elapsed_sec,interval_sec,frames,fps,alerts,latency_mean_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,cpu_percent,rss_mb,cumulative_frames
1,60.00003326998558,60.00003326998558,601223,10020.377777036265,601223,0.020461000502109528,0.023345835506916067,0.04006855547428137,0.7709519863128662,27.1,70.48828125,601223
2,120.00003349292092,60.00000022293534,1199139,19985.649925741538,1199139,0.0203412976115942,0.022619124501943456,0.0392716125398873,0.5339739322662354,53.6,75.05078125,1800362
3,180.00003369094338,60.00000019802246,1199231,19987.183267368146,1199231,0.020470328629016876,0.022968975827097893,0.046430040150880814,0.42918092012405396,53.8,75.05078125,2999593
4,240.00003442098387,60.00000073004048,1198910,19981.83309020755,1198910,0.020301448181271553,0.0214109905064106,0.038606846705079,0.4316759407520294,53.5,75.0546875,4198503
5,300.0000338900136,59.99999946902972,1198641,19977.350176789656,1198641,0.020445240661501884,0.025387968868017197,0.051829032599925995,0.4637129604816437,54.0,75.0625,5397144
6,360.00003472098615,60.00000083097257,1199039,19983.983056564306,1199039,0.02051590010523796,0.024598069489002096,0.040197000727057446,0.5379658937454224,54.4,75.0625,6596183
7,420.00003351201303,59.99999879102688,1199304,19988.400402757314,1199304,0.01983661763370037,0.02077198587357998,0.03467194922268388,0.5023070573806763,52.6,75.0625,7795487
8,480.00003481598105,60.00000130396802,1198967,19982.7828990515,1198967,0.020398259162902832,0.021465938538312912,0.040356310233473865,0.43121400475502014,53.8,75.0625,8994454
9,540.0000341269188,59.99999931093771,1199369,19989.48356289999,1199369,0.01988927088677883,0.021205982193350792,0.03318260923028024,0.508836030960083,52.9,75.0625,10193823
10,600.0000344879227,60.00000036100391,1198405,19973.416546491975,1198405,0.021173793822526932,0.027263048291206366,0.05213007614016532,0.5748060345649719,55.7,75.06640625,11392228
11,660.0000350769842,60.00000058906153,1197904,19965.06647065579,1197904,0.021146584302186966,0.031693022698163986,0.05266990140080452,0.5099840760231018,55.6,75.06640625,12590132
12,720.000033022021,59.99999794503674,1198270,19971.16735066692,1198270,0.02122199535369873,0.03081304021179676,0.05255802720785141,0.5320640206336975,55.7,75.0703125,13788402
13,780.0000350049231,60.00000198290218,1198338,19972.29933994807,1198338,0.021308429539203644,0.030054012313485146,0.05256699025630951,0.5131540894508362,55.8,75.0703125,14986740
14,840.0000333359931,59.999998331069946,1198805,19980.083889089376,1198805,0.020110568031668663,0.02226179838180546,0.0427589975297451,0.52205890417099,53.1,75.0703125,16185545
15,900.0000348429894,60.00000150699634,1198904,19981.732831460027,1198904,0.02075127884745598,0.025311019271612167,0.04556485943496207,0.4898119866847992,54.5,75.0703125,17384449
16,960.0000341309933,59.99999928800389,1198572,19976.200237049612,1198572,0.020759595558047295,0.026430003345012665,0.049433578811585985,0.38359197974205017,54.7,75.07421875,18583021
17,1020.0000339479884,59.999999816995114,1198790,19979.833394273453,1198790,0.02040187641978264,0.025054969079792506,0.04333523854613325,0.43783697485923767,53.9,75.07421875,19781811
18,1080.0000342830317,60.000000335043296,1199236,19987.26655505667,1199236,0.019968977198004723,0.02146698534488678,0.03523402661085129,0.5133479237556458,52.9,75.07421875,20981047
19,1140.0000345099252,60.00000022689346,1198686,19978.09992445166,1198686,0.021002572029829025,0.026732683181762695,0.05212822500616304,0.5312290787696838,55.1,75.07421875,22179733
20,1200.0000524659408,60.000017956015654,1198352,19972.527356216437,1198352,0.021002545952796936,0.030499003641307348,0.05232705920934677,0.4953089952468872,55.3,75.07421875,23378085
21,1260.000033919001,59.99998145306017,1198378,19972.972840625425,1198378,0.02111588418483734,0.027400230988860044,0.052559288218617425,0.5226969718933105,55.4,75.078125,24576463
22,1320.0000342229614,60.000000303960405,1199066,19984.43323209206,1199066,0.02048281952738762,0.023731030523777008,0.04160170946270246,0.46191003918647766,54.1,75.078125,25775529
23,1380.000034380937,60.00000015797559,1199576,19992.933280693407,1199576,0.01957000605762005,0.02050597593188286,0.02206023782491684,0.46538910269737244,52.0,75.08203125,26975105
24,1440.0000348479953,60.00000046705827,1199146,19985.766511091373,1199146,0.02061532251536846,0.022421009838581085,0.043187674693763396,0.5243920087814331,54.5,75.08203125,28174251
25,1500.000034851022,60.0000000030268,1198980,19982.999998991923,1198980,0.02072431519627571,0.02322101593017578,0.05191296711564064,0.5117100477218628,54.7,75.08203125,29373231
26,1560.0000366090098,60.000001757987775,1198528,19975.46608138958,1198528,0.020567096769809723,0.02481004279106854,0.0520159974694252,0.537913978099823,54.3,75.0859375,30571759
27,1620.000037333928,60.00000072491821,1198169,19969.483092062634,1198169,0.02132606878876686,0.03078300505876541,0.052495043724775314,0.4992299973964691,56.1,75.0859375,31769928
28,1680.0000331349438,59.99999580101576,1199043,19984.05139854528,1199043,0.020639361813664436,0.02724190801382056,0.05194801092147827,0.5100258588790894,54.6,75.0859375,32968971
29,1740.0000343979336,60.00000126298983,1198857,19980.949579404398,1198857,0.02057533524930477,0.023194007575511932,0.04031893238425255,0.5532450675964355,54.3,75.0859375,34167828
30,1800.000033485936,59.99999908800237,1198931,19982.183637061735,1198931,0.02036215178668499,0.02302601933479309,0.04396502561867237,0.5163650512695312,53.9,75.08984375,35366759
31,1860.0000342850108,60.00000079907477,1199151,19985.849733830197,1199151,0.020349275320768356,0.021741027012467384,0.04131597280502319,0.5023690462112427,53.7,75.09375,36565910
32,1920.0000333709177,59.99999908590689,1199059,19984.31697112544,1199059,0.02020943909883499,0.02256093919277191,0.04107598215341568,0.5151840448379517,53.4,75.09375,37764969
