start_ts,end_ts,label
1788508282.0004654,1788508285.6141193,Fuzzy
1788508295.2448683,1788508298.9397562,Fuzzy
1788508307.5993369,1788508311.4438798,gear
1788508317.920477,1788508321.7046878,gear
1788508328.2134516,1788508331.472149,Fuzzy
1788508338.437767,1788508342.1277514,gear
1788508350.157311,1788508352.937218,DoS
1788508360.8438163,1788508364.481294,Fuzzy
